Ssiderea046003	factor 19
Ssiderea057816	ATP-binding cassette, sub-family B (MDR TAP), member 1
Ssiderea037001	Protein tyrosine kinase
Ssiderea047448	Peroxidasin homolog
Ssiderea018557	snRNA processing
Ssiderea018087	copper ion binding
Ssiderea025229	Ras subfamily of RAS small GTPases
Ssiderea024589	Von Willebrand factor A
Ssiderea028072	G-protein coupled receptor activity
Ssiderea058227	ATPase activity
Ssiderea054981	Doublecortin domain-containing protein 2
Ssiderea033763	zinc ion binding
Ssiderea001427	G-protein coupled receptor activity
Ssiderea045780	Xeroderma pigmentosum G N-region
Ssiderea62814	52 kDa repressor of the inhibitor of the protein
Ssiderea62766	Kelch
Ssiderea023466	Belongs to the glycosyl hydrolase 18 family
Ssiderea021430	thyroid hormone transmembrane transporter activity
Ssiderea055748	Ligand-gated ion channel
Ssiderea053998	hyaluronic acid binding
Ssiderea029600	serine-type carboxypeptidase activity
Ssiderea043650	Domain of unknown function (DUF4616)
Ssiderea60200	maintenance of mitotic sister chromatid cohesion, centromeric
Ssiderea055602	mitochondrial translation
Ssiderea054020	CUB and zona pellucida-like domain-containing protein
Ssiderea009606	tetraterpenoid metabolic process
Ssiderea010252	zinc ion binding
Ssiderea60931	intracellular transport of virus
Ssiderea049001	Chondroitin sulfate ABC lyase
Ssiderea022288	R3H domain and coiled-coil containing 1-like
Ssiderea008229	DNA binding
Ssiderea006488	G-protein coupled receptor activity
Ssiderea014941	chondrocyte morphogenesis
Ssiderea008285	AP-5 complex subunit sigma-1
Ssiderea012171	cytochrome P450
Ssiderea033358	spliceosomal complex assembly
Ssiderea004641	G-protein coupled receptor activity
Ssiderea053524	polycystic kidney disease protein 1-like
Ssiderea047619	MYND finger
Ssiderea021932	cell surface pattern recognition receptor signaling pathway
Ssiderea007342	cellular response to calcium ion
Ssiderea013624	Phospholipase A2, group IB (pancreas)
Ssiderea055603	protein modification by small protein conjugation
Ssiderea011771	Lysosomal Pro-X
Ssiderea035623	Zgc 136858
Ssiderea038962	Bardet-Biedl syndrome 4
Ssiderea003044	SPRY domain
Ssiderea014916	Thrombospondin-1
Ssiderea022065	N-acetyl-D-glucosamine kinase
Ssiderea014757	mRNA CDS binding
Ssiderea005383	Transmembrane protein 45B
Ssiderea004660	7 transmembrane receptor (rhodopsin family)
Ssiderea057933	leukocyte migration involved in immune response
Ssiderea046110	extracellularly ATP-gated cation channel activity
Ssiderea018189	Domain of unknown function (DUF3504)
Ssiderea019713	structural constituent of cuticle
Ssiderea024593	Von Willebrand factor A
Ssiderea022861	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
Ssiderea055224	glucuronosyltransferase activity
Ssiderea018938	heme binding
Ssiderea009865	Chromosome 14 open reading frame 119
Ssiderea010505	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea042357	Immunoglobulin C-2 Type
Ssiderea051627	ribosomal large subunit binding
Ssiderea008987	carbohydrate binding
Ssiderea032980	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. The coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
Ssiderea017373	ribonuclease P RNA binding
Ssiderea005325	face morphogenesis
Ssiderea045344	G-protein coupled receptor activity
Ssiderea004928	positive regulation of platelet-derived growth factor receptor-beta signaling pathway
Ssiderea019864	NACHT domain
Ssiderea009472	subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors
Ssiderea006566	Low affinity immunoglobulin epsilon Fc receptor
Ssiderea018522	Transmembrane protein family 232
Ssiderea033093	cytochrome P450
Ssiderea054867	anterograde synaptic vesicle transport
Ssiderea025760	calcium ion binding
Ssiderea025673	response to virus
Ssiderea005143	zinc ion binding
Ssiderea054051	activation of NF-kappaB-inducing kinase activity
Ssiderea023241	Thioesterase superfamily member 6
Ssiderea056015	Secreted protein acidic and rich in cysteine Ca binding region
Ssiderea024136	carbohydrate binding
Ssiderea057759	cell surface pattern recognition receptor signaling pathway
Ssiderea019521	cyclic nucleotide-gated ion channel activity
Ssiderea053164	Domain of unknown function (DUF3504)
Ssiderea047905	ROK family
Ssiderea028351	factor 14
Ssiderea036699	Cystathionine gamma-lyase
Ssiderea048424	Serpentine type 7TM GPCR chemoreceptor Srx
Ssiderea024297	cadherin, EGF LAG seven-pass G-type receptor
Ssiderea025130	Cytochrome P450
Ssiderea047656	cobalamin catabolic process
Ssiderea021299	negative regulation of apoptotic process involved in outflow tract morphogenesis
Ssiderea020521	SUMO binding
Ssiderea035111	Glycosyltransferase family 92
Ssiderea056886	von Willebrand factor D and EGF
Ssiderea051947	homeobox protein
Ssiderea017308	cell-cell adhesion involved in gastrulation
Ssiderea048782	Fibronectin type 3 domain
Ssiderea003798	Indoleamine 2,3-dioxygenase
Ssiderea026956	zinc ion binding
Ssiderea025252	Belongs to the protein kinase superfamily
Ssiderea049710	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
Ssiderea047629	thiol-dependent ubiquitin-specific protease activity
Ssiderea028358	regulation of mitotic cell cycle
Ssiderea008537	Deleted in malignant brain tumors 1
Ssiderea009391	asparaginase activity
Ssiderea59181	embryonic brain development
Ssiderea026481	Rho-related BTB
Ssiderea012001	-
Ssiderea001611	elongator acetyltransferase complex subunit 4
Ssiderea031716	G-protein coupled receptor activity
Ssiderea046902	O-acyltransferase
Ssiderea024201	poly(U) RNA binding
Ssiderea020635	extracellularly glycine-gated chloride channel activity
Ssiderea022545	peptidyl-lysine oxidation
Ssiderea022370	ubiquitin-protein transferase activator activity
Ssiderea034138	histone acetylation
Ssiderea017078	Helix-turn-helix of DDE superfamily endonuclease
Ssiderea028731	methylenetetrahydrofolate reductase (NAD(P)H) activity
Ssiderea033474	Universal stress protein family
Ssiderea60207	Belongs to the helicase family
Ssiderea003803	ATPase activity, coupled to transmembrane movement of substances
Ssiderea035187	P or trefoil or TFF domain
Ssiderea010779	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.
Ssiderea040329	MAP kinase kinase kinase activity
Ssiderea019492	Belongs to the peptidase S1 family
Ssiderea60214	steroid hormone mediated signaling pathway
Ssiderea025731	Coiled-coil domain containing 17
Ssiderea014864	Belongs to the small GTPase superfamily. Rho family
Ssiderea61481	maintenance of mitotic sister chromatid cohesion, centromeric
Ssiderea046678	death receptor agonist activity
Ssiderea017960	glutaryl-CoA dehydrogenase
Ssiderea053096	UPF0544 protein C5orf45 homolog
Ssiderea017550	ADAM metallopeptidase with thrombospondin type 1 motif 10
Ssiderea053869	zinc ion binding
Ssiderea054516	Universal stress protein family
Ssiderea053835	Flavin containing amine oxidoreductase
Ssiderea009708	histone demethylase activity (H3-K4 specific)
Ssiderea026960	vesicle docking involved in exocytosis
Ssiderea044281	ERI1 exoribonuclease
Ssiderea057198	Ribosomal protein S18
Ssiderea59226	distal tubule morphogenesis
Ssiderea026861	von Willebrand factor (vWF) type A domain
Ssiderea032269	G-protein coupled receptor activity
Ssiderea021525	zinc finger
Ssiderea022045	sodium channel activity
Ssiderea044537	Rac protein signal transduction
Ssiderea056169	heme binding
Ssiderea053756	ATPase activity
Ssiderea052255	RNA polymerase II sequence-specific DNA-binding transcription factor binding
Ssiderea010381	calcium channel activity
Ssiderea041989	metalloexopeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea049260	receptor localization to synapse
Ssiderea048665	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
Ssiderea015191	Component of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends. Also a component of RNase MRP
Ssiderea051639	ribosomal protein
Ssiderea012400	Ras of Complex, Roc, domain of DAPkinase
Ssiderea021677	Galactosyltransferase
Ssiderea012062	positive regulation of osteoclast development
Ssiderea013867	CUB and zona pellucida-like domain-containing protein
Ssiderea057537	G-protein coupled receptor activity
Ssiderea016072	thyroid hormone transmembrane transporter activity
Ssiderea054991	Sterile alpha motif domain-containing protein 9-like
Ssiderea030734	Alpha-kinase family
Ssiderea005641	Common central domain of tyrosinase
Ssiderea003373	integrin binding
Ssiderea045773	alpha-(1->3)-fucosyltransferase activity
Ssiderea053364	Common central domain of tyrosinase
Ssiderea018946	scavenger receptor activity
Ssiderea011064	protein-hormone receptor activity
Ssiderea036564	ribosomal large subunit biogenesis
Ssiderea016016	Cannabinoid receptor 2
Ssiderea001290	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea021279	NFX1-type zinc finger-containing protein
Ssiderea020110	calcium ion binding
Ssiderea051724	heparan sulfate proteoglycan
Ssiderea049910	acetylcholine-gated cation-selective channel activity
Ssiderea59756	protein phosphatase regulator activity
Ssiderea004556	Trefoil factor 3
Ssiderea028277	chitin binding
Ssiderea050482	Ion transport protein
Ssiderea027655	porphobilinogen synthase activity
Ssiderea029706	methyltransferase activity
Ssiderea054256	Dienelactone hydrolase family
Ssiderea044290	ERI1 exoribonuclease
Ssiderea048040	polycystic kidney disease protein 1-like
Ssiderea042860	leukocyte migration involved in immune response
Ssiderea036716	structural constituent of cuticle
Ssiderea025398	regulation of mitotic cell cycle
Ssiderea60299	oxidation-reduction process
Ssiderea035246	Sulfatase-modifying factor enzyme 1
Ssiderea011340	-
Ssiderea010379	calcium channel activity
Ssiderea032920	frizzled binding
Ssiderea036212	Brachyury
Ssiderea028531	Common central domain of tyrosinase
Ssiderea040783	fibroblast growth factor-activated receptor activity
Ssiderea016511	tachykinin receptor activity
Ssiderea055992	WD40 repeats
Ssiderea026362	deacylase
Ssiderea018587	platelet-activating factor acetyltransferase activity
Ssiderea006219	negative regulation of negative chemotaxis
Ssiderea044569	7 transmembrane receptor (rhodopsin family)
Ssiderea000827	regulation of Ral protein signal transduction
Ssiderea032250	Common central domain of tyrosinase
Ssiderea008735	WD repeat and FYVE
Ssiderea017869	NADP-retinol dehydrogenase activity
Ssiderea013484	Anoctamin
Ssiderea013764	Katanin p60 ATPase-containing subunit A-like
Ssiderea055625	mitochondrial translation
Ssiderea025085	cell-substrate adherens junction assembly
Ssiderea019267	Belongs to the importin alpha family
Ssiderea038122	von Willebrand factor (vWF) type A domain
Ssiderea031143	ion channel activity
Ssiderea010295	Fatty acid amide hydrolase-like
Ssiderea009382	Arp2/3 complex-mediated actin nucleation
Ssiderea039614	gamma-aminobutyric acid:proton symporter activity
Ssiderea006348	G-protein coupled receptor activity
Ssiderea044786	Interferon induced with helicase C domain 1
Ssiderea048379	G-protein coupled receptor activity
Ssiderea011615	embryonic hindlimb morphogenesis
Ssiderea031546	calcium ion binding
Ssiderea026609	Beta-lactamase
Ssiderea020406	WW and C2 domain containing
Ssiderea033725	acidic dipeptidase
Ssiderea018219	G-protein coupled receptor activity
Ssiderea017547	sulfate adenylyltransferase (ATP) activity
Ssiderea015887	CUB and sushi
Ssiderea002400	fibroblast growth factor-activated receptor activity
Ssiderea019014	protein import into mitochondrial matrix
Ssiderea055619	BRO1-like domain
Ssiderea038444	Thrombospondin type 1 repeats
Ssiderea026380	CHAT domain
Ssiderea040280	heat shock factor
Ssiderea052432	NACHT domain
Ssiderea046338	axoneme assembly
Ssiderea015687	Common central domain of tyrosinase
Ssiderea59919	Zinc finger protein
Ssiderea003470	U6 snRNA binding
Ssiderea048500	Von Willebrand factor A
Ssiderea021144	activation of NF-kappaB-inducing kinase activity
Ssiderea003897	ATP binding
Ssiderea009297	voltage-gated potassium channel activity
Ssiderea003698	lyase activity
Ssiderea014514	extracellularly glycine-gated chloride channel activity
Ssiderea032629	tachykinin receptor activity
Ssiderea049469	Mitochondrial ribosomal protein MRP-S35
Ssiderea057441	nucleotide-excision repair, DNA duplex unwinding
Ssiderea014853	ADP catabolic process
Ssiderea052025	Carboxypeptidase
Ssiderea053864	receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Ssiderea59567	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea046058	oxygen carrier activity
Ssiderea053841	Flavin containing amine oxidoreductase
Ssiderea044680	Belongs to the ATG8 family
Ssiderea031518	Armadillo repeat-containing protein
Ssiderea035715	Glutamate receptor ionotropic, kainate
Ssiderea025855	Solute carrier family 35, member G1
Ssiderea025533	Protein of unknown function (DUF3808)
Ssiderea050625	Hemicentin 1
Ssiderea62879	four-way junction helicase activity
Ssiderea030012	ArfGAP with coiled-coil, ankyrin repeat and PH domains
Ssiderea039509	RNA binding
Ssiderea030114	Flavin containing amine oxidoreductase
Ssiderea020678	fibroblast growth factor-activated receptor activity
Ssiderea041708	Protein tyrosine kinase
Ssiderea042294	-
Ssiderea044365	Axin interactor
Ssiderea012937	arachidonic acid secretion
Ssiderea018211	protein serine/threonine/tyrosine kinase activity
Ssiderea041360	Common central domain of tyrosinase
Ssiderea030490	coagulation factor V
Ssiderea029392	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
Ssiderea59473	N-term cysteine-rich ER, FAM69
Ssiderea048823	A-type (transient outward) potassium channel activity
Ssiderea048508	inositol hexakisphosphate 6-kinase activity
Ssiderea015200	DNA synthesis involved in double-strand break repair via homologous recombination
Ssiderea012196	Glycerate kinase
Ssiderea026247	translation factor activity, non-nucleic acid binding
Ssiderea012592	glutamic-type peptidase activity
Ssiderea019157	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1
Ssiderea002562	Immunoglobulin C-2 Type
Ssiderea040183	Sidekick cell adhesion molecule
Ssiderea014477	Proposed nucleic acid binding domain
Ssiderea026602	bone morphogenetic protein
Ssiderea046331	steroid hormone receptor activity
Ssiderea043672	Exocyst complex component sec5
Ssiderea054741	complement activation
Ssiderea007381	metanephric glomerular basement membrane development
Ssiderea055764	DnaJ molecular chaperone homology domain
Ssiderea022949	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor
Ssiderea008960	Protein tyrosine kinase
Ssiderea018646	Collagen triple helix
Ssiderea055267	7 transmembrane receptor (rhodopsin family)
Ssiderea025729	protein-hormone receptor activity
Ssiderea019672	microtubule motor activity
Ssiderea012948	Methyltransferase domain
Ssiderea001094	endonuclease
Ssiderea050926	transcription corepressor activity
Ssiderea005022	hydrolase activity, acting on ester bonds
Ssiderea028988	DBH-like monooxygenase protein 1
Ssiderea040361	Uncharacterized protein K02A2.6-like
Ssiderea003669	Coagulation factor V
Ssiderea021553	mRNA 3'-end processing by stem-loop binding and cleavage
Ssiderea025662	NADP-retinol dehydrogenase activity
Ssiderea029244	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Ssiderea010543	heterogeneous nuclear ribonucleoprotein
Ssiderea031996	Leucine Rich repeats (2 copies)
Ssiderea057476	potassium voltage-gated channel, subfamily H
Ssiderea026087	Belongs to the universal ribosomal protein uL5 family
Ssiderea038215	Checkpoint
Ssiderea039263	Fibrillar collagens C-terminal domain
Ssiderea028829	coagulation factor V
Ssiderea051874	DDE superfamily endonuclease
Ssiderea003598	Disintegrin and metalloproteinase domain-containing protein
Ssiderea002247	Transcription mediator complex subunit Med12
Ssiderea022841	PRA1 family
Ssiderea014265	Myosin. Large ATPases.
Ssiderea057784	Collagen triple helix
Ssiderea035695	proteasome-mediated ubiquitin-dependent protein catabolic process
Ssiderea047871	Belongs to the peptidase M10A family
Ssiderea013901	NADPH:quinone reductase activity
Ssiderea045450	Pleckstrin homology domain containing, family H (with MyTH4 domain) member
Ssiderea056349	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea001411	Ran GTPase binding
Ssiderea005541	Tetratricopeptide repeat
Ssiderea017905	regulation of protein ADP-ribosylation
Ssiderea045352	dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity
Ssiderea032740	neurogenic locus notch homolog protein
Ssiderea003077	Family with sequence similarity 188, member B
Ssiderea023753	nervous system development
Ssiderea037610	negative regulation of meiotic chromosome separation
Ssiderea026082	determination of digestive tract left/right asymmetry
Ssiderea019633	nucleic acid-templated transcription
Ssiderea032706	cell-matrix adhesion
Ssiderea050949	EP4 subtype prostaglandin E2 receptor binding
Ssiderea056158	Max-like protein X
Ssiderea017228	proteasome assembly
Ssiderea011248	snRNA modification
Ssiderea052890	Key component of the cytosolic iron-sulfur protein assembly (CIA) complex, a multiprotein complex that mediates the incorporation of iron-sulfur cluster into extramitochondrial Fe S proteins
Ssiderea017787	G-protein coupled receptor activity
Ssiderea015258	Belongs to the peptidase C19 family
Ssiderea038440	Fibrillar collagens C-terminal domain
Ssiderea002200	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
Ssiderea056934	protein kinase activity
Ssiderea018888	Thiopurine S-methyltransferase
Ssiderea040856	Immunoglobulin C-2 Type
Ssiderea014883	small GTPase mediated signal transduction
Ssiderea020030	regulation of cellular response to hypoxia
Ssiderea001772	regulation of transcription involved in G1/S transition of mitotic cell cycle
Ssiderea006080	negative regulation of chemokine (C-C motif) ligand 5 production
Ssiderea015103	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60
Ssiderea052506	Olfactomedin-like
Ssiderea034331	B cell differentiation
Ssiderea036070	melatonin receptor activity
Ssiderea008533	calcium ion binding
Ssiderea004442	Fibronectin type 3 domain
Ssiderea000261	DNA-binding transcription factor activity, RNA polymerase II-specific
Ssiderea004022	regulation of mitotic cell cycle
Ssiderea033827	calcium ion binding
Ssiderea052097	Cell adhesion molecule
Ssiderea015292	Polynucleotide kinase 3 phosphatase
Ssiderea015069	Belongs to the TPP enzyme family
Ssiderea014447	DNA binding
Ssiderea045952	single stranded viral RNA replication via double stranded DNA intermediate
Ssiderea053970	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
Ssiderea025013	nuclear-transcribed mRNA catabolic process, no-go decay
Ssiderea053908	midbrain-hindbrain boundary maturation
Ssiderea026814	7 transmembrane receptor (rhodopsin family)
Ssiderea047618	thiol-dependent ubiquitin-specific protease activity
Ssiderea020260	P21-activated protein kinase-interacting protein
Ssiderea034603	histone acetyltransferase activity
Ssiderea036522	protein ubiquitination
Ssiderea018680	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation
Ssiderea036234	methionyl-tRNA aminoacylation
Ssiderea040252	adaptation of rhodopsin mediated signaling
Ssiderea015352	hydrolase activity
Ssiderea052666	extracellular matrix
Ssiderea022544	protein-lysine 6-oxidase activity
Ssiderea026016	voltage-gated potassium channel activity
Ssiderea027527	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
Ssiderea055044	DNA replication origin binding
Ssiderea028110	G-protein coupled receptor activity
Ssiderea000185	26S proteasome non-ATPase regulatory subunit
Ssiderea042820	translation activator activity
Ssiderea058502	Zinc finger protein 556
Ssiderea030927	negative regulation of meiotic chromosome separation
Ssiderea025025	Histamine N-methyltransferase
Ssiderea020303	galanin-activated signaling pathway
Ssiderea027270	Tnf receptor-associated factor 2
Ssiderea049627	xylosylprotein 4-beta-galactosyltransferase activity
Ssiderea024225	positive regulation of presynaptic cytosolic calcium concentration
Ssiderea057555	-
Ssiderea012704	Exonuclease 1
Ssiderea046061	N-acylglucosamine 2-epimerase activity
Ssiderea044673	Meprin A
Ssiderea049096	positive regulation of androgen receptor activity
Ssiderea032005	Methyltransferase domain
Ssiderea040683	G-protein coupled receptor activity
Ssiderea000326	cell surface receptor signaling pathway
Ssiderea032340	structural constituent of cuticle
Ssiderea002368	cytoskeletal protein binding
Ssiderea040633	all-trans-retinol 13,14-reductase activity
Ssiderea044297	Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding
Ssiderea013833	Ring finger and WD repeat domain 2
Ssiderea054933	sphingomyelin phosphodiesterase activator activity
Ssiderea61278	oxidation-reduction process
Ssiderea61653	-
Ssiderea057319	-
Ssiderea005984	ATPase activity, coupled to transmembrane movement of substances
Ssiderea002099	Cell surface proteoglycan that bears heparan sulfate
Ssiderea043743	Potassium channel subfamily K member
Ssiderea61668	KRAB-A domain containing 2
Ssiderea003947	coiled-coil domain containing 57
Ssiderea020868	regulation of mitotic cell cycle
Ssiderea018054	RNA helicase activity
Ssiderea039850	Transient receptor potential cation channel, subfamily A, member
Ssiderea056499	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
Ssiderea010199	zinc ion binding
Ssiderea042430	carbohydrate binding
Ssiderea042907	F-box protein 42
Ssiderea000146	7 transmembrane receptor (rhodopsin family)
Ssiderea014540	RNA-binding protein Musashi homolog
Ssiderea035794	AMPA glutamate receptor activity
Ssiderea038432	structural constituent of cuticle
Ssiderea015152	Dynein, light chain
Ssiderea013935	Dienelactone hydrolase family
Ssiderea025908	oligopeptide transmembrane transporter activity
Ssiderea033218	phosphoacetylglucosamine mutase activity
Ssiderea59442	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea006184	carbohydrate phosphorylation
Ssiderea008745	Translation machinery-associated protein 16
Ssiderea020475	thyroid hormone transmembrane transporter activity
Ssiderea024987	non-membrane spanning protein tyrosine kinase activity
Ssiderea009525	Y-form DNA binding
Ssiderea60609	-
Ssiderea003441	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Ssiderea057902	3-oxo-5-alpha-steroid 4-dehydrogenase
Ssiderea000840	ubiquitin protein ligase binding
Ssiderea002014	EF-hand domain pair
Ssiderea016826	Muscle, skeletal, receptor
Ssiderea027597	demethylase 8
Ssiderea62650	heme binding
Ssiderea054563	histone acetyltransferase activity (H4-K12 specific)
Ssiderea053821	A Receptor for Ubiquitination Targets
Ssiderea009715	Thrombospondin type 1 repeats
Ssiderea030056	NACHT, LRR and PYD domains-containing protein 3-like
Ssiderea034460	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea032991	-
Ssiderea034630	regulation of mitotic cell cycle
Ssiderea003655	HECT-domain (ubiquitin-transferase)
Ssiderea042760	G-protein coupled receptor activity
Ssiderea61061	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea043376	UbiA prenyltransferase
Ssiderea013664	RING finger protein 151
Ssiderea056895	Nidogen-like
Ssiderea051139	heme transporter activity
Ssiderea035932	endoribonuclease activity, cleaving siRNA-paired mRNA
Ssiderea022291	nucleic acid binding
Ssiderea014224	Belongs to the small heat shock protein (HSP20) family
Ssiderea031860	structural constituent of cytoskeleton
Ssiderea009359	midbrain morphogenesis
Ssiderea045018	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea023934	calcium ion binding
Ssiderea002402	fibroblast growth factor-activated receptor activity
Ssiderea036877	Si ch211-37e10.1
Ssiderea025186	Glycine cleavage H-protein
Ssiderea042594	Domain of unknown function (DUF3504)
Ssiderea057979	protein kinase activity
Ssiderea004012	PFAM Bacterial capsule synthesis protein PGA_cap
Ssiderea039230	Fibrillar collagens C-terminal domain
Ssiderea045572	tachykinin receptor activity
Ssiderea021643	response to nematode
Ssiderea017852	Myb/SANT-like DNA-binding domain
Ssiderea057870	sequestering of TGFbeta in extracellular matrix
Ssiderea018008	Protein of unknown function (DUF640)
Ssiderea042204	glycerol ether metabolic process
Ssiderea005104	HAUS augmin-like complex subunit 7
Ssiderea002779	microtubule motor activity
Ssiderea040832	Hemicentin 1
Ssiderea043492	nuclear export signal receptor activity
Ssiderea008659	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea050578	peptidase activator activity
Ssiderea005727	Cathepsin propeptide inhibitor domain (I29)
Ssiderea036706	diphthine synthase activity
Ssiderea007143	ATP-dependent RNA helicase
Ssiderea044487	biosynthesis, class F
Ssiderea002485	Immunoglobulin C-2 Type
Ssiderea040204	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8
Ssiderea005476	L-fuconate dehydratase activity
Ssiderea015594	metalloendopeptidase activity
Ssiderea005203	enzyme substrate 1
Ssiderea59205	Thrombospondin-type laminin G domain and EAR
Ssiderea058307	cysteine and glycine-rich protein
Ssiderea053119	inhibition of cysteine-type endopeptidase activity involved in apoptotic process
Ssiderea051278	Coiled-coil domain containing 89
Ssiderea052204	metalloendopeptidase activity
Ssiderea005010	regulation of mitotic cell cycle
Ssiderea046380	Golgi vesicle fusion to target membrane
Ssiderea054066	Tolloid-like protein 2
Ssiderea024197	Neural proliferation differentiation control-1 protein (NPDC1)
Ssiderea019600	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Ssiderea012439	maintenance of translational fidelity
Ssiderea022994	histone H4-K12 acetylation
Ssiderea016407	7 transmembrane receptor (rhodopsin family)
Ssiderea020296	protein localization to perinuclear region of cytoplasm
Ssiderea051749	NMDA glutamate receptor activity
Ssiderea051265	structural constituent of cytoskeleton
Ssiderea003819	glycerophosphodiester phosphodiesterase 1
Ssiderea047460	Acid phosphatase homologues
Ssiderea026188	endoplasmic reticulum
Ssiderea015517	L-ascorbic acid binding
Ssiderea050682	Stimulated by retinoic acid gene 6 protein homolog
Ssiderea014321	Thrombospondin type-1 domain-containing protein 4-like
Ssiderea010444	coagulation factor V
Ssiderea033497	Universal stress protein family
Ssiderea033845	keratan sulfotransferase activity
Ssiderea026545	detection of mechanical stimulus
Ssiderea042441	aspartate N-acetyltransferase activity
Ssiderea050696	DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Ssiderea003745	nuclear receptor transcription coactivator activity
Ssiderea049531	Nipsnap homolog
Ssiderea015759	calcium ion transport
Ssiderea039152	Alpha-kinase family
Ssiderea011986	NACHT and WD repeat
Ssiderea045074	G-protein coupled receptor activity
Ssiderea016433	7 transmembrane receptor (rhodopsin family)
Ssiderea039865	NT-3 growth factor
Ssiderea048395	G-protein coupled receptor activity
Ssiderea024930	Endonuclease/Exonuclease/phosphatase family
Ssiderea048763	cyclin-dependent protein kinase activating kinase activity
Ssiderea020401	melatonin receptor activity
Ssiderea015265	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Ssiderea007007	It is involved in the biological process described with
Ssiderea024913	microtubule anchoring
Ssiderea002950	protein desumoylation
Ssiderea009537	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Ssiderea021716	canonical Wnt signaling pathway involved in osteoblast differentiation
Ssiderea000884	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea056830	Methyltransferase domain
Ssiderea040447	NADH-ubiquinone reductase complex 1 MLRQ subunit
Ssiderea004849	Charged multivesicular body protein
Ssiderea032738	Belongs to the peptidase S1 family
Ssiderea047390	caveola assembly
Ssiderea015984	G-protein coupled receptor activity
Ssiderea013456	Serpentine type 7TM GPCR chemoreceptor Srsx
Ssiderea051012	Polymerase (DNA directed), gamma 2, accessory subunit
Ssiderea049739	negative regulation of MHC class II biosynthetic process
Ssiderea018485	TMEM151 family
Ssiderea048380	G-protein coupled receptor activity
Ssiderea012115	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Ssiderea027952	Glutaminyl-peptide cyclotransferase
Ssiderea001961	EP4 subtype prostaglandin E2 receptor binding
Ssiderea014366	heart development
Ssiderea024939	Galactose binding lectin domain
