Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea262968	Ion transport protein
Ssiderea231958	40S ribosomal protein
Ssiderea235430	heme binding
Ssiderea235622	CCR5 chemokine receptor binding
Ssiderea271840	DDE superfamily endonuclease
Ssiderea253315	osmolarity-sensing cation channel activity
Ssiderea250136	Epithelial cell transforming 2
Ssiderea271350	transmembrane receptor protein tyrosine kinase activity
Ssiderea246971	Alpha beta hydrolase
Ssiderea223469	Tissue factor pathway inhibitor
Ssiderea265556	K02A2.6-like
Ssiderea257449	retrograde transport, vesicle recycling within Golgi
Ssiderea247717	angiogenesis
Ssiderea574181	centromere complex assembly
Ssiderea241726	Golgi transport vesicle coating
Ssiderea257204	regulation of mast cell degranulation
Ssiderea231411	glycosylphosphatidylinositol phospholipase D activity
Ssiderea233392	mRNA methylation
Ssiderea249884	protein import into mitochondrial intermembrane space
Ssiderea210536	G-protein coupled receptor activity
Ssiderea241546	embryonic heart tube elongation
Ssiderea245594	endoplasmic reticulum-plasma membrane tethering
Ssiderea230630	NADP-retinol dehydrogenase activity
Ssiderea238962	protein depalmitoylation
Ssiderea262902	transferase activity
Ssiderea247156	neuropeptide receptor activity
Ssiderea216636	Belongs to the multicopper oxidase family
Ssiderea251685	Ubiquitin carboxyl-terminal hydrolase
Ssiderea257855	translation initiation factor activity
Ssiderea217108	DNA-templated transcription, initiation
Ssiderea203171	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea312160	Serine peptidase inhibitor, Kunitz type 3
Ssiderea251830	rhythmic process
Ssiderea271776	Mov10 RISC complex RNA helicase like 1
Ssiderea267738	transmembrane receptor protein serine/threonine kinase activity
Ssiderea266264	Mitochondrial inner membrane protein
Ssiderea251597	ATP-dependent 5'-3' DNA helicase activity
Ssiderea258368	translation regulator activity
Ssiderea179275	GABA-A receptor activity
Ssiderea261185	positive regulation of voltage-gated calcium channel activity
Ssiderea243957	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea243239	peptidase inhibitor activity
Ssiderea239046	transmembrane receptor protein tyrosine kinase activity
Ssiderea224599	Calcium-binding protein
Ssiderea232236	zinc-binding in reverse transcriptase
Ssiderea263139	gamma-glutamyl-peptidase activity
Ssiderea251155	hydrolase activity, acting on ester bonds
Ssiderea271210	ATP-dependent peptidase activity
Ssiderea261620	monocarboxylate transporter
Ssiderea203386	cysteine-type endopeptidase activity
Ssiderea229056	Doublesex and mab-3 related transcription factor like family A2
Ssiderea258295	CUB and zona pellucida-like domain-containing protein
Ssiderea253957	U3 snoRNA binding
Ssiderea215492	mesenchymal cell apoptotic process
Ssiderea270086	phenylalanyl-tRNA synthetase 2, mitochondrial
Ssiderea228332	heme binding
Ssiderea234931	7 transmembrane receptor (rhodopsin family)
Ssiderea245820	Leucine rich repeat C-terminal domain
Ssiderea218487	cytosine C-5 DNA demethylase activity
Ssiderea259768	Ras-associating and dilute domain-containing
Ssiderea218034	heparan sulfate proteoglycan
Ssiderea221789	metalloendopeptidase activity
Ssiderea375950	Elongation factor 1-alpha
Ssiderea232037	calcium ion binding
Ssiderea233117	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity
Ssiderea264174	histone H2A monoubiquitination
Ssiderea281993	-
Ssiderea250294	negative regulation of transcription, DNA-templated
Ssiderea241791	ubiquitin protein ligase binding
Ssiderea133190	positive regulation of transcription elongation from RNA polymerase II promoter
Ssiderea269011	Thrombospondin 4
Ssiderea220278	alkylglycerophosphoethanolamine phosphodiesterase activity
Ssiderea243433	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea226040	MFS/sugar transport protein
Ssiderea267965	cytoplasmic dynein 2 heavy chain
Ssiderea221301	zinc ion binding
Ssiderea253884	tRNA threonylcarbamoyladenosine metabolic process
Ssiderea241571	RNA pseudouridylate synthase
Ssiderea255035	G-protein coupled receptor activity
Ssiderea264272	nucleic acid-templated transcription
Ssiderea261768	V-myb avian myeloblastosis viral oncogene
Ssiderea219525	Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase
Ssiderea242271	e3 ubiquitin-protein ligase
Ssiderea236671	Glycerate kinase
Ssiderea240579	6,7-dihydropteridine reductase activity
Ssiderea226813	peptidyl-prolyl cis-trans isomerase activity
Ssiderea249706	disintegrin and metalloproteinase
Ssiderea140414	catechol O-methyltransferase activity
Ssiderea246324	Zinc-ribbon
Ssiderea258688	DDE superfamily endonuclease
Ssiderea257200	WD40 repeats
Ssiderea262361	negative regulation of cell growth
Ssiderea257292	ERC protein 2
Ssiderea155623	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
Ssiderea265529	arachidonate 5-lipoxygenase activity
Ssiderea240754	polyubiquitinated misfolded protein transport
Ssiderea240154	regulation of mitotic spindle assembly
Ssiderea269634	DNA-binding transcription factor activity, RNA polymerase II-specific
Ssiderea220955	Belongs to the G-protein coupled receptor 1 family
Ssiderea284369	negative regulation of cardiac chamber formation
Ssiderea242371	Interferon regulatory factor 2-binding protein-like
Ssiderea225665	metalloendopeptidase activity
Ssiderea262602	negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway
Ssiderea242930	protein delipidation
Ssiderea261761	MORN repeat containing 3
Ssiderea268464	procollagen-lysine 5-dioxygenase activity
Ssiderea257592	kinetochore binding
Ssiderea233059	C2 domain
Ssiderea262579	Serine threonine-protein kinase HT1
Ssiderea441327	THUMP domain containing 2
Ssiderea266181	positive regulation of aldosterone biosynthetic process
Ssiderea432492	methylenetetrahydrofolate reductase (NAD(P)H) activity
Ssiderea233954	spermine transport
Ssiderea194527	Prolyl oligopeptidase
Ssiderea371483	BCCT, betaine/carnitine/choline family transporter
Ssiderea243592	Lys63-specific deubiquitinase activity
Ssiderea254720	nuclear receptor transcription coactivator activity
Ssiderea255103	It is involved in the biological process described with snRNA processing
Ssiderea270469	N-acetyltransferase activity
Ssiderea268538	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Ssiderea238288	four-way junction helicase activity
Ssiderea246153	FK506 binding
Ssiderea183035	mRNA processing
Ssiderea242138	protein tyrosine/threonine phosphatase activity
Ssiderea259536	Calcyphosin-like protein
Ssiderea220452	thelarche
Ssiderea249717	17-beta-hydroxysteroid dehydrogenase (NAD+) activity
Ssiderea263616	magnesium ion binding
Ssiderea263403	Peptide chain release factor
Ssiderea208000	calcium channel activity
Ssiderea243004	acid phosphatase activity
Ssiderea223130	It is involved in the biological process described with
Ssiderea226342	ligand-gated sodium channel activity
Ssiderea263461	aldehyde dehydrogenase (NAD) activity
Ssiderea488361	mitotic cytokinesis
Ssiderea222137	BLOC-2 complex binding
Ssiderea230715	Ribonuclease H protein
Ssiderea232791	ATPase activity, coupled to transmembrane movement of substances
Ssiderea242635	galactitol metabolic process
Ssiderea265759	calcium channel activity
Ssiderea219541	cellular response to calcium ion
Ssiderea267234	phenylalanyl-tRNA synthetase 2, mitochondrial
Ssiderea266333	Glycosyl hydrolase family 20, catalytic domain
Ssiderea269121	hydrolase activity, acting on ester bonds
Ssiderea270460	linker protein
Ssiderea243820	Iron/manganese superoxide dismutases, C-terminal domain
Ssiderea251893	partner of NOB1 homolog
Ssiderea247291	hyaluronic acid binding
Ssiderea261746	ubiquitin-protein transferase activity
Ssiderea271300	CTD nuclear envelope phosphatase 1 regulatory subunit 1
Ssiderea175484	It is involved in the biological process described with
Ssiderea251608	CD5 molecule-like
Ssiderea264114	Ash2 (absent, small, or homeotic)-like (Drosophila)
Ssiderea173103	proteasome-mediated ubiquitin-dependent protein catabolic process
Ssiderea229293	trafficking protein particle complex
Ssiderea236337	PHD finger protein 13
Ssiderea263170	Dmx-like 2
Ssiderea251777	-
Ssiderea222586	Phosphoserine aminotransferase
Ssiderea186659	Hsp90 protein
Ssiderea244950	Domain of unknown function (DUF4062)
Ssiderea257785	Ras-related protein
Ssiderea255239	spongiotrophoblast layer development
Ssiderea247175	Mitogen-activated protein kinase associated protein 1
Ssiderea413840	Chromatin assembly factor 1, subunit B
Ssiderea261637	co-translational protein modification
Ssiderea249532	guanylate cyclase activity
Ssiderea244960	Fibrinogen-related domains (FReDs)
Ssiderea265754	Initiation factor
Ssiderea239445	Belongs to the FBPase class 1 family
Ssiderea254271	endocytic recycling
Ssiderea245717	Secreted frizzled-related protein 4
Ssiderea259642	sulfuric ester hydrolase activity
Ssiderea231592	RAB30, member RAS oncogene family
Ssiderea254676	Family with sequence similarity 49, member
Ssiderea275936	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea249121	Transforming protein RhoA-like
Ssiderea224218	POU domain, class 4, transcription factor
Ssiderea271602	negative regulation of DNA replication
Ssiderea223144	Glutaredoxin 3
Ssiderea203702	acetylcholine-gated cation-selective channel activity
Ssiderea267557	myosin light chain kinase activity
Ssiderea268853	TNF receptor-associated factor
Ssiderea262521	SUMO conjugating enzyme activity
Ssiderea110286	leading strand elongation
Ssiderea233892	protein C1orf158 homolog
Ssiderea243747	sulfotransferase activity
Ssiderea217588	calcium ion binding
Ssiderea230170	nucleic acid-templated transcription
Ssiderea263538	Programmed cell death
Ssiderea224934	glucosylceramidase
Ssiderea261178	calcium ion-regulated exocytosis of neurotransmitter
Ssiderea232069	DnaJ molecular chaperone homology domain
Ssiderea260212	pointed-end actin filament capping
Ssiderea259405	otic placode development
Ssiderea574408	G-protein coupled receptor activity
Ssiderea257800	Ligand-gated ion channel
Ssiderea417611	phosphatase 2C
Ssiderea274784	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea267386	regulatory subunit 4
Ssiderea120984	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea260693	microtubule severing
Ssiderea261134	L-asparagine biosynthetic process
Ssiderea242955	DDE superfamily endonuclease
Ssiderea268978	retinol dehydrogenase activity
Ssiderea260393	SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein
Ssiderea240085	neurotransmitter:sodium symporter activity
Ssiderea239325	Superoxide dismutase
Ssiderea321999	HSA
Ssiderea258011	RING domain
Ssiderea237884	Leucine Rich repeat
Ssiderea264897	DNA-directed 5'-3' RNA polymerase activity
Ssiderea202794	ISXO2-like transposase domain
Ssiderea248174	establishment of planar polarity involved in neural tube closure
Ssiderea261576	glucose:sodium symporter activity
Ssiderea217518	positive regulation of cardioblast differentiation
Ssiderea265933	tfiia large subunit
Ssiderea271467	metalloaminopeptidase activity
Ssiderea234625	glucuronosyltransferase activity
Ssiderea252167	transmembrane transport
Ssiderea263132	transferase activity, transferring acyl groups
Ssiderea246994	dephospho-CoA kinase activity
Ssiderea254520	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage
Ssiderea265553	Belongs to the PI3 PI4-kinase family
Ssiderea252665	histone demethylase activity (H3-K27 specific)
Ssiderea267104	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A
Ssiderea229349	retinol dehydrogenase activity
Ssiderea227441	heme binding
Ssiderea26949	U4atac snRNA binding
Ssiderea260112	all-trans-retinol 13,14-reductase activity
Ssiderea255152	Poly(ADP-ribose) polymerase catalytic domain
Ssiderea233153	MAP kinase activity
Ssiderea226438	neurotransmitter:sodium symporter activity
Ssiderea250353	Belongs to the peptidase S8 family
Ssiderea246869	ceramide phosphoethanolamine biosynthetic process
Ssiderea262251	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea246666	rRNA (guanosine-2'-O-)-methyltransferase activity
Ssiderea247067	inward rectifier potassium channel activity
Ssiderea241710	Fas associated factor family member 2
Ssiderea267857	RNA-3'-phosphate cyclase activity
Ssiderea263929	MAM domain, meprin/A5/mu
Ssiderea221324	forkhead box
Ssiderea244008	4-coumarate--CoA ligase 1-like
Ssiderea270059	Argininosuccinate lyase
Ssiderea258795	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
Ssiderea268678	Collagen triple helix
Ssiderea261904	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Ssiderea255356	EGF domain-specific O-linked N-acetylglucosamine
Ssiderea270647	dynein intermediate chain binding
Ssiderea228282	7 transmembrane receptor (rhodopsin family)
Ssiderea265900	DEAD/DEAH box helicase
Ssiderea255260	protein localization to microvillus
Ssiderea263531	G-protein coupled receptor activity
Ssiderea260579	Glyceraldehyde-3-phosphate dehydrogenase
Ssiderea247324	Mannosyltransferase involved in glycosylphosphatidylinositol-anchor biosynthesis
Ssiderea246219	voltage-gated chloride channel activity
Ssiderea190659	NHL repeat
Ssiderea254770	signal transduction involved in intra-S DNA damage checkpoint
Ssiderea217970	ubiquitin protein ligase binding
Ssiderea232879	O-acyltransferase
Ssiderea238626	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process
Ssiderea262975	Protein similar to CwfJ C-terminus 1
Ssiderea257031	zinc finger
Ssiderea252908	TIMELESS-interacting protein
Ssiderea258709	N-sulfoglucosamine sulfohydrolase
Ssiderea269475	ubiquitin-dependent protein catabolic process via the N-end rule pathway
Ssiderea266976	Domain of unknown function (DUF4371)
Ssiderea248899	positive regulation of mitotic centrosome separation
Ssiderea267682	sphingomyelin phosphodiesterase D activity
Ssiderea248937	5'-nucleotidase activity
Ssiderea267139	-
Ssiderea241275	nucleic acid binding
Ssiderea263937	NFX1-type zinc finger-containing protein
Ssiderea242735	Binds the poly(A) tail of mRNA
Ssiderea249832	oxidoreductase activity
Ssiderea239081	UPF0554 protein C2orf43 homolog
Ssiderea233674	intraciliary transport
Ssiderea250940	Domain of unknown function (DUF4707)
Ssiderea546534	DNA-directed DNA polymerase activity
Ssiderea270233	protein phosphatase regulator activity
Ssiderea250677	Belongs to the TPP enzyme family
Ssiderea236606	Dock homology region 2
Ssiderea238821	inositol tetrakisphosphate 3-kinase activity
Ssiderea223122	establishment of anatomical structure orientation
Ssiderea245904	rRNA primary transcript binding
Ssiderea217047	Subtilase family
Ssiderea225193	regulation of nitric oxide metabolic process
Ssiderea267901	intraflagellar transport
Ssiderea267127	peptidyl-dipeptidase activity
Ssiderea263844	haloacid dehalogenase-like hydrolase
Ssiderea253622	coproporphyrinogen oxidase activity
Ssiderea260555	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Ssiderea238355	Belongs to the glycosyl hydrolase 18 family
Ssiderea217965	Ala-tRNA(Thr) hydrolase activity
Ssiderea256669	clathrin binding
Ssiderea248582	Belongs to the MsrB Met sulfoxide reductase family
Ssiderea257633	RNA binding
Ssiderea256687	SPARC related modular calcium binding 2
Ssiderea243162	K02A2.6-like
Ssiderea225043	extracellular ligand-gated ion channel activity
Ssiderea244067	ribosomal protein L19
Ssiderea248442	N,N-dimethylaniline monooxygenase activity
Ssiderea228720	positive regulation of smoothened signaling pathway
Ssiderea242853	DNA-(apurinic or apyrimidinic site) lyase
Ssiderea268197	positive regulation of vascular endothelial growth factor signaling pathway
Ssiderea271340	Glycosyl transferases group 1
Ssiderea241018	It is involved in the biological process described with
Ssiderea260019	XPA binding protein 2
Ssiderea260713	May function in recognizing stalled ribosomes and triggering endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and degrade damaged mRNAs
Ssiderea229254	Belongs to the glycosyltransferase 43 family
Ssiderea216011	carbohydrate binding. It is involved in the biological process described with mannose metabolic process
Ssiderea226132	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
Ssiderea239008	cellular calcium ion homeostasis
Ssiderea221805	Amine oxidase flavin-containing
Ssiderea264025	Eukaryotic translation initiation factor 3, subunit
Ssiderea269716	identical protein binding
Ssiderea266705	pyridoxal-dependent decarboxylase
Ssiderea257672	regulation of mitotic cell cycle
Ssiderea267161	ubiquitin-ubiquitin ligase activity
Ssiderea244246	Exocyst complex component 4
Ssiderea241061	positive regulation of DNA-binding transcription factor activity
Ssiderea249322	Ligand-gated ion channel
Ssiderea267461	telomerase activity
Ssiderea231185	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea256003	fatty acid beta-oxidation using acyl-CoA dehydrogenase
Ssiderea256143	[heparan sulfate]-glucosamine N-sulfotransferase activity
Ssiderea231749	Glutathione S-transferase
Ssiderea232757	ATPase activity, coupled to transmembrane movement of substances
Ssiderea260355	ArfGAP with dual PH
Ssiderea236483	intraciliary transport
Ssiderea229438	glucuronosyltransferase activity
Ssiderea252502	GTPase activating protein binding
Ssiderea267761	Ubiquitin protein ligase E3 component n-recognin 4
Ssiderea264722	Ribonuclease H protein
Ssiderea262451	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
Ssiderea238954	CCR4-NOT transcription complex subunit
Ssiderea260478	Histone-lysine N-methyltransferase
Ssiderea241960	3-hydroxyisobutyryl-CoA hydrolase activity
Ssiderea228417	Belongs to the peptidase M10A family
Ssiderea236044	GABA-A receptor activity
Ssiderea224017	organic anion transmembrane transporter activity
Ssiderea259826	aminergic neurotransmitter loading into synaptic vesicle
Ssiderea264522	polycystic kidney disease protein 1-like
Ssiderea237933	Isocitrate/isopropylmalate dehydrogenase
Ssiderea331120	G-protein coupled receptor activity
Ssiderea254169	pyrimidine nucleotide transmembrane transporter activity
Ssiderea260798	Peroxiredoxin
Ssiderea257314	exportin 4
Ssiderea229154	fibroblast growth factor-activated receptor activity
Ssiderea198357	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Ssiderea217989	ubiquinone biosynthetic process
Ssiderea235547	reductase B3
Ssiderea23355	Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases
Ssiderea250230	spindle assembly
Ssiderea238262	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
Ssiderea246557	scavenger receptor activity
Ssiderea241629	protein K33-linked ubiquitination
Ssiderea235758	tRNA modification
Ssiderea264732	Domain of unknown function (DUF4455)
Ssiderea254592	gamete generation
Ssiderea249473	transmembrane transport
Ssiderea197974	-
Ssiderea235932	AP-5 complex subunit sigma-1
Ssiderea248034	MAP kinase kinase kinase activity
Ssiderea218185	Belongs to the peptidase C1 family
Ssiderea239771	tRNA threonylcarbamoyladenosine modification
Ssiderea270224	protein kinase activity
Ssiderea250277	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea267115	Ethanolamine-phosphate phospho-lyase
Ssiderea225796	5-formyltetrahydrofolate cyclo-ligase activity
Ssiderea243681	snoRNA binding
Ssiderea260817	mRNA cleavage involved in gene silencing
Ssiderea236203	intestinal epithelial cell development
Ssiderea255835	O-acyltransferase
Ssiderea136477	nuclease
Ssiderea199964	homologous recombination
Ssiderea244373	process utilizing autophagic mechanism
Ssiderea245037	Domain of unknown function (DUF4476)
Ssiderea263268	hepatocyte growth factor binding
Ssiderea242515	R3H domain-containing protein 4
Ssiderea244114	protein-arginine omega-N asymmetric methyltransferase activity
Ssiderea231343	glycine hydroxymethyltransferase activity
Ssiderea239393	A Receptor for Ubiquitination Targets
Ssiderea260687	non-haem dioxygenase in morphine synthesis N-terminal
Ssiderea245480	metalloendopeptidase activity
Ssiderea234122	Cytohesin
Ssiderea252585	intermembrane sphingolipid transfer activity
Ssiderea240968	mitochondrial respiratory chain complex IV assembly
Ssiderea261147	fibroblast growth factor-activated receptor activity
Ssiderea212720	HECT, UBA and WWE domain containing 1
Ssiderea240766	metallocarboxypeptidase activity
Ssiderea241183	phosphorylation of RNA polymerase II C-terminal domain
Ssiderea192715	Na+/Pi-cotransporter
Ssiderea409893	monocarboxylate transporter
Ssiderea268825	netrin receptor activity
Ssiderea242962	High affinity copper uptake protein
Ssiderea263647	Vacuolar Protein
Ssiderea246200	regulation of translation
Ssiderea192079	Aspartyl Asparaginyl beta-hydroxylase
Ssiderea249902	Endoplasmic reticulum-Golgi intermediate compartment protein
Ssiderea234921	proton-transporting ATP synthase activity, rotational mechanism
Ssiderea265813	thrombospondin type-1 domain-containing protein 4
Ssiderea220421	Transmembrane protein family 232
Ssiderea236590	blood vessel endothelial cell proliferation involved in sprouting angiogenesis
Ssiderea267198	establishment or maintenance of actin cytoskeleton polarity
Ssiderea172248	K02A2.6-like
Ssiderea268318	heme binding
Ssiderea495161	structural constituent of ribosome
Ssiderea257074	DDE superfamily endonuclease
Ssiderea233819	lysosomal lumen pH elevation
Ssiderea252295	TIR domain
Ssiderea230315	8-hydroxy-dADP phosphatase activity
Ssiderea257916	chromatin remodeling
Ssiderea254699	organic anion transmembrane transporter activity
Ssiderea255967	Calcium-binding protein
Ssiderea235395	rRNA (adenine) methyltransferase activity
Ssiderea262929	belongs to the protein kinase superfamily
Ssiderea263433	mitochondrial transport
Ssiderea238325	hippo signaling
Ssiderea260453	Disintegrin and metalloproteinase domain-containing protein
Ssiderea265436	TeTratriCopeptide repeat
Ssiderea255144	OAR domain
Ssiderea244736	tRNA wobble uridine modification
Ssiderea261821	voltage-gated potassium channel activity
Ssiderea184774	acyl-CoA synthetase medium-chain family member 3
Ssiderea85769	Methyltransferase FkbM domain
Ssiderea237174	tooth eruption
Ssiderea259898	renal vesicle induction
Ssiderea166775	Chromosome 9 open reading frame 156
Ssiderea114604	O-Methyltransferase
Ssiderea257211	Small G protein signaling modulator
Ssiderea237345	Trafficking protein particle complex 11
Ssiderea190847	Cytochrome P450, family 46, subfamily A, polypeptide
Ssiderea263640	ATP-dependent peptidase activity
Ssiderea242390	Haloacid dehalogenase-like hydrolase
Ssiderea269773	negative regulation of superoxide anion generation
Ssiderea180290	cytoplasmic translation
Ssiderea199744	microtubule motor activity
Ssiderea249179	anterograde dendritic transport of mitochondrion
Ssiderea260370	ER overload response
Ssiderea258256	coiled-coil domain-containing protein 170
Ssiderea261007	Cleavage and polyadenylation
Ssiderea243207	serine-type endopeptidase inhibitor activity
Ssiderea218715	K02A2.6-like
Ssiderea258401	zinc ion binding
Ssiderea247087	transmembrane protein 127
Ssiderea254642	protein transport
Ssiderea237578	protein serine/threonine phosphatase activity
Ssiderea226338	Arachidonate 5-lipoxygenase
Ssiderea185939	helicase activity
Ssiderea269163	beta-galactosidase activity
Ssiderea206124	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Ssiderea245654	serine threonine-protein kinase
Ssiderea262495	ATP-dependent RNA helicase
Ssiderea223590	activation of NF-kappaB-inducing kinase activity
Ssiderea246562	Ankyrin repeats (3 copies)
Ssiderea237950	TatD DNase domain containing 1
Ssiderea265497	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea252624	Belongs to the DHHC palmitoyltransferase family
Ssiderea257539	e3 ubiquitin-protein ligase
Ssiderea269009	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c
Ssiderea257007	Transmembrane protein 116
Ssiderea250629	It is involved in the biological process described with transmembrane transport
Ssiderea221517	X-prolyl aminopeptidase (aminopeptidase P) 3
Ssiderea261223	Schwann cell proliferation
Ssiderea260282	DNA replication origin binding
Ssiderea252954	microtubule motor activity
Ssiderea220114	optic nerve structural organization
Ssiderea264406	nucleolar chromatin organization
Ssiderea219028	Tnf receptor-associated factor 2
Ssiderea222816	NHL repeat
Ssiderea238842	Arp2/3 complex-mediated actin nucleation
Ssiderea266936	amino acid activation for nonribosomal peptide biosynthetic process
Ssiderea235848	galactosylceramide sulfotransferase activity
Ssiderea247421	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
Ssiderea258286	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Ssiderea268039	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Ssiderea261590	MAP kinase kinase kinase kinase activity
Ssiderea253196	chromosome transmission fidelity
Ssiderea20268	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Ssiderea223190	negative regulation of glucocorticoid receptor signaling pathway
Ssiderea217862	K02A2.6-like
Ssiderea262263	cobalamin binding
Ssiderea247250	spliceosomal snRNP assembly
Ssiderea258477	calcium-independent protein kinase C activity
Ssiderea475995	Domain of unknown function (DUF4062)
Ssiderea156427	Golgi to endosome transport
Ssiderea242342	Alpha amylase, catalytic domain
Ssiderea238687	pyruvate dehydrogenase (acetyl-transferring) activity
Ssiderea244047	regulation of cardiac conduction
Ssiderea196251	Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Can reduce H(2)O(2) and short chain organic, fatty acid, and phospholipid hydroperoxides. Also has phospholipase activity, and can therefore either reduce the oxidized sn-2 fatty acyl grup of phospholipids (peroxidase activity) or hydrolyze the sn-2 ester bond of phospholipids (phospholipase activity). These activities are dependent on binding to phospholipids at acidic pH and to oxidized phospholipds at cytosolic pH. Plays a role in cell protection against oxidative stress by detoxifying peroxides and in phospholipid homeostasis
Ssiderea258344	RhoGEF domain
Ssiderea239628	calcium ion binding
Ssiderea157163	Peptidase family M13
Ssiderea219439	threonine-type endopeptidase activity
Ssiderea229917	positive regulation of Notch signaling pathway
Ssiderea256174	procollagen galactosyltransferase activity
Ssiderea263250	SNAP receptor activity
Ssiderea236345	amacrine cell differentiation
Ssiderea233416	glucose:sodium symporter activity
Ssiderea251264	Galactosidase, beta 1-like 2
Ssiderea247104	WD repeat domain 74
Ssiderea254203	DNA replication origin binding
Ssiderea250917	NEDD8 conjugating enzyme activity
Ssiderea248000	Arf GTPase-activating protein
Ssiderea244564	Serine palmitoyltransferase, long chain base subunit 3
Ssiderea217387	positive regulation of interleukin-13 biosynthetic process
Ssiderea229242	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding
Ssiderea270539	ZIP Zinc transporter
Ssiderea271577	hyaluronic acid binding
Ssiderea194925	heme binding
Ssiderea238799	transporter activity
Ssiderea270248	Ubiquitin homologues
Ssiderea220332	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Ssiderea216533	Lectin, galactoside-binding, soluble, 3 binding protein
Ssiderea255971	gamma-aminobutyric acid type B receptor subunit
Ssiderea266037	Protein tyrosine phosphatase, receptor type
Ssiderea250439	negative regulation of bile acid biosynthetic process
Ssiderea231137	neurogenic locus notch homolog protein
Ssiderea259477	regulation of nucleic acid-templated transcription
Ssiderea239537	Pyridoxal-phosphate dependent enzyme
Ssiderea239446	Kazrin, periplakin interacting protein
Ssiderea262395	Myotubularin. Source PGD
Ssiderea95166	serine transport
Ssiderea128788	sulfuric ester hydrolase activity
Ssiderea258806	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea268229	GTPase activity
Ssiderea262462	Importin 9
Ssiderea132913	glutamic-type peptidase activity
Ssiderea265679	neuropeptide Y receptor activity
Ssiderea270754	-
Ssiderea264244	autophagy of host cells involved in interaction with symbiont
Ssiderea248370	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea260258	Meprin A
Ssiderea263946	SH3-domain GRB2-like endophilin
Ssiderea250448	lipoamidase activity
Ssiderea247269	Rho protein signal transduction
Ssiderea268624	zinc ion transmembrane transporter activity
Ssiderea245580	zymogen granule exocytosis
Ssiderea251795	transporter activity
Ssiderea249336	peptidyl-prolyl cis-trans isomerase activity
Ssiderea227865	spectrin binding
Ssiderea267522	RmlD substrate binding domain
Ssiderea267869	camp-dependent protein kinase catalytic subunit
Ssiderea233686	-
Ssiderea233721	serine threonine-protein kinase
Ssiderea244275	DUF1741
Ssiderea180471	Fibronectin type 2 domain
Ssiderea263702	Pantothenate kinase
Ssiderea270362	positive regulation of protein lipidation
Ssiderea194402	e3 ubiquitin-protein ligase
Ssiderea229280	Cysteine and histidine-rich protein 1
Ssiderea83172	Arginase family
Ssiderea198755	K02A2.6-like
Ssiderea254310	poly(ADP-ribose) glycohydrolase activity
