Ssiderea256452	guanine/thymine mispair binding
Ssiderea215969	threonine-type endopeptidase activity
Ssiderea250484	Golgi vesicle prefusion complex stabilization
Ssiderea120323	regulation of choline O-acetyltransferase activity
Ssiderea263600	cysteine dioxygenase activity
Ssiderea232739	Belongs to the peptidase S1 family
Ssiderea236790	positive regulation of glomerular metanephric mesangial cell proliferation
Ssiderea255300	Fibronectin type 3 domain
Ssiderea224383	meiotic DNA recombinase assembly
Ssiderea260229	Thioredoxin
Ssiderea257454	cellular response to calcium ion
Ssiderea263682	Tigger transposable
Ssiderea261606	Belongs to the short-chain dehydrogenases reductases (SDR) family
Ssiderea244363	MDM2/MDM4 family protein binding
Ssiderea48829	3-oxoacyl-[acyl-carrier-protein] synthase activity
Ssiderea247028	isoform X1
Ssiderea256233	May function as activator of the canonical Wnt signaling pathway, in association with DVL3, upstream of CTNNB1 beta- catenin. Positively regulates Toll-like receptor (TLR) signaling in response to agonist probably by competing with the negative FLII regulator for MYD88-binding (By similarity)
Ssiderea217383	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity
Ssiderea224580	protein linear deubiquitination
Ssiderea252773	oxidoreductase activity
Ssiderea228558	StAR-related lipid transfer (START) domain containing 10
Ssiderea262278	WD repeat-containing protein 17
Ssiderea248074	Modulator
Ssiderea216312	sequence-specific DNA binding
Ssiderea239490	ERCC4 domain
Ssiderea24883	melatonin receptor activity
Ssiderea256698	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Ssiderea260454	MAP kinase kinase kinase kinase activity
Ssiderea125489	prolyl 4-hydroxylase
Ssiderea231638	transcription by RNA polymerase III
Ssiderea248559	inorganic diphosphatase activity
Ssiderea257322	intraciliary transport
Ssiderea199706	LPS-responsive vesicle trafficking, beach and anchor containing
Ssiderea232436	cAMP-dependent protein kinase catalytic subunit
Ssiderea260074	Trinucleotide repeat containing 18
Ssiderea252088	Insulin-induced gene
Ssiderea252937	ankyrin repeat and LEM
Ssiderea256583	Belongs to the enoyl-CoA hydratase isomerase family
Ssiderea256083	negative regulation of cell proliferation involved in kidney development
Ssiderea260023	MATH domain
Ssiderea243924	effector protein 1
Ssiderea253409	arachidonate 5-lipoxygenase activity
Ssiderea261299	metalloendopeptidase activity
Ssiderea259064	Rho guanyl-nucleotide exchange factor activity
Ssiderea262413	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Ssiderea227590	spliceosomal snRNP assembly
Ssiderea246021	acetylcholine-gated cation-selective channel activity
Ssiderea253878	oxidoreductase NAD-binding
Ssiderea253079	low voltage-gated calcium channel activity
Ssiderea237879	Potassium channel subfamily K member
Ssiderea298853	cellular water homeostasis
Ssiderea229027	helix loop helix domain
Ssiderea250185	calcium ion binding
Ssiderea245789	Kinetochore complex Sim4 subunit Fta1
Ssiderea194638	regulation of embryonic development
Ssiderea189444	WD repeat and FYVE
Ssiderea255554	guanylate cyclase activity
Ssiderea152235	alpha-amylase activity
Ssiderea261983	nucleobase-containing compound biosynthetic process
Ssiderea253378	Sel1-like repeats.
Ssiderea209719	ATPase activity. It is involved in the biological process described with cilium movement
Ssiderea202998	activation of NF-kappaB-inducing kinase activity
Ssiderea255251	Peptidase family M28
Ssiderea248531	protein localization to perinuclear region of cytoplasm
Ssiderea237765	endosome to lysosome transport via multivesicular body sorting pathway
Ssiderea222995	transmembrane transport
Ssiderea131938	polycystic kidney disease protein 1-like
Ssiderea257005	apoptotic mitochondrial changes
Ssiderea17214	Cysteine-type peptidase activity. It is involved in the biological process described with proteolysis
Ssiderea248295	ATP-dependent RNA helicase
Ssiderea261330	peptidyl-prolyl cis-trans isomerase activity
Ssiderea252240	nucleic acid-templated transcription
Ssiderea250308	serine arginine-rich splicing factor
Ssiderea217756	retinol dehydrogenase activity
Ssiderea241780	acetylcholine-gated cation-selective channel activity
Ssiderea256152	Calcyphosine 2
Ssiderea87614	FAD dependent oxidoreductase
Ssiderea252613	Cap1 CAP, adenylate cyclase-associated protein 1
Ssiderea232155	mitochondrial translation
Ssiderea225313	Arachidonate 5-lipoxygenase
Ssiderea211701	meiotic spindle elongation
Ssiderea231966	Rho Binding
Ssiderea252553	phosphotransferase activity, paired acceptors
Ssiderea250018	mRNA processing
Ssiderea257604	SAM and SH3
Ssiderea249492	adherens junction organization
Ssiderea235251	tyrosine-protein kinase
Ssiderea221442	axoneme assembly
Ssiderea184452	Myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)
Ssiderea235334	somatostatin receptor activity
Ssiderea255974	7 transmembrane receptor (rhodopsin family)
Ssiderea246749	cyclin-dependent protein serine/threonine kinase activity
Ssiderea236954	regulation of intraciliary retrograde transport
Ssiderea262677	protein-glycine ligase activity, initiating
Ssiderea252509	Transmembrane amino acid transporter protein
Ssiderea261424	StAR-related lipid transfer
Ssiderea357455	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Ssiderea242233	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
Ssiderea246513	G-protein coupled receptor activity
Ssiderea246311	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity
Ssiderea250121	primary heart field specification
Ssiderea251645	Geranylgeranyl transferase type-2 subunit alpha
Ssiderea243159	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea236610	creatine kinase activity
Ssiderea197015	calmodulin binding
Ssiderea226290	calcium ion binding
Ssiderea214251	DN3 thymocyte differentiation
Ssiderea262742	Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding
Ssiderea226513	high mobility group
Ssiderea258121	rRNA primary transcript binding
Ssiderea253951	SAM dependent carboxyl methyltransferase
Ssiderea243612	Protein kinase C conserved region 2 (CalB)
Ssiderea222369	thick ascending limb development
Ssiderea238144	WD repeat-containing protein 82
Ssiderea258596	Lipid phosphate phosphohydrolase 2
Ssiderea243466	GTP binding protein 1
Ssiderea251125	GABA-A receptor activity
Ssiderea255049	DNA topoisomerase type I activity
Ssiderea260146	G protein-coupled glucose receptor regulating Gpa2 C-term
Ssiderea247774	nucleotide-binding oligomerization domain containing 1 signaling pathway
Ssiderea223396	Chromosome 21 open reading frame 2
Ssiderea239159	chloride channel activity
Ssiderea254569	Zinc finger CCHC
Ssiderea243622	positive regulation of androgen receptor activity
Ssiderea235283	Thrombospondin-type laminin G domain and EAR
Ssiderea256785	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Ssiderea252595	Glutathione S-transferase, C-terminal domain
Ssiderea258005	O-acyltransferase
Ssiderea250568	Amidohydrolase family
Ssiderea250381	calcium, potassium:sodium antiporter activity
Ssiderea62299	Peptide methionine sulfoxide reductase
Ssiderea251080	positive regulation of DNA-binding transcription factor activity
Ssiderea236018	homeobox
Ssiderea250250	G-protein coupled GABA receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Ssiderea258133	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea246542	e3 ubiquitin-protein ligase
Ssiderea246049	neuromuscular junction development
Ssiderea373608	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism
Ssiderea260650	SDE2 telomere maintenance homolog (S. pombe)
Ssiderea245695	Solute carrier family 35 member E1
Ssiderea239461	heat shock
Ssiderea253937	Belongs to the peptidase S1 family
Ssiderea254792	Maternal embryonic leucine zipper
Ssiderea252419	dynein light chain binding
Ssiderea261158	Thrombospondin 3a
Ssiderea249772	Taurine catabolism dioxygenase TauD, TfdA family
Ssiderea103904	protein homooligomerization
Ssiderea237498	Ubiquitin carboxyl-terminal hydrolase
Ssiderea259450	GYF domain
Ssiderea231417	ectonucleotide pyrophosphatase phosphodiesterase
Ssiderea57889	cyclic nucleotide-gated ion channel activity
Ssiderea261252	Ankyrin repeat
Ssiderea249158	positive regulation of glucokinase activity
Ssiderea153568	homolog, subfamily B, member 8
Ssiderea254236	SH3 and PX domains 2A
Ssiderea256307	Glucose-6-phosphatase
Ssiderea233859	intraciliary transport
Ssiderea263148	microtubule motor activity
Ssiderea250754	6-O-sulfation enzyme which catalyzes the transfer of sulfate from 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to position 6 of the N-sulfoglucosamine residue (GlcNS) of heparan sulfate
Ssiderea248483	Pygopus homolog
Ssiderea255671	ADAM metallopeptidase with thrombospondin type 1 motif 17
Ssiderea253404	Cathepsin propeptide inhibitor domain (I29)
Ssiderea229379	Si ch211-246m6.4
Ssiderea246939	Belongs to the peptidase M10A family
Ssiderea263353	protein modification by small protein conjugation
Ssiderea96796	endoribonuclease activity
Ssiderea242975	tRNA methyltransferase 10 homolog A
Ssiderea252277	CS domain
Ssiderea207247	Trypsin-like serine protease
Ssiderea249626	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
Ssiderea242874	Peroxidase
Ssiderea250518	sideroflexin
Ssiderea247544	histone H3-K36 methylation
Ssiderea243667	heart development
Ssiderea188510	Microtubule-actin cross-linking factor 1
Ssiderea231624	Avidin family
Ssiderea262426	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea262942	ATPase activity, coupled to transmembrane movement of substances
Ssiderea258982	autophagy of host cells involved in interaction with symbiont
Ssiderea262342	CAP-Gly domain-containing linker protein 2
Ssiderea246847	Cathepsin propeptide inhibitor domain (I29)
Ssiderea23058	Gelsolin homology domain
Ssiderea220748	Pleckstrin homology domain
Ssiderea252392	DNA-binding transcription factor activity
Ssiderea250627	nuclear localization sequence binding
Ssiderea262886	Lysosomal trafficking regulator
Ssiderea247350	Pantothenate kinase
Ssiderea261441	negative regulation of bile acid biosynthetic process
Ssiderea243727	neuropeptide Y receptor activity
Ssiderea257313	protein ubiquitination
Ssiderea263607	MutL homolog 3
Ssiderea395698	ribosomal protein
Ssiderea258997	Intron-binding protein aquarius
Ssiderea159809	cellular response to nitrogen levels
Ssiderea241650	protein localization to cytosolic proteasome complex involved in ERAD pathway
Ssiderea236254	Paired box
Ssiderea238783	peroxisome membrane targeting sequence binding
Ssiderea340008	guanylate cyclase activity
Ssiderea233260	N-acetyl-beta-D-galactosaminidase activity
Ssiderea244744	calmodulin-dependent protein kinase activity
Ssiderea248316	run and fyve
Ssiderea253029	cyclin-dependent kinase 10
Ssiderea254747	trans-L-3-hydroxyproline dehydratase activity
Ssiderea183127	peptidyl-prolyl cis-trans isomerase activity
Ssiderea216089	leucine-rich repeat serine threonine-protein kinase
Ssiderea247396	Belongs to the bacterial histone-like protein family
Ssiderea239614	synaptic vesicle priming
Ssiderea250538	ATP binding. It is involved in the biological process described with protein phosphorylation
Ssiderea251916	microtubule plus-end binding
Ssiderea249787	RNA-DNA hybrid ribonuclease activity
Ssiderea237689	ligase 1
Ssiderea254979	peroxisome localization
Ssiderea261230	drug:proton antiporter activity
Ssiderea255548	WD40 repeats
Ssiderea262255	fibroblast growth factor-activated receptor activity
Ssiderea249889	Coiled-coil domain-containing protein 174
Ssiderea254741	Transmembrane protein 120B
Ssiderea212077	cat eye syndrome
Ssiderea256309	Endonuclease/Exonuclease/phosphatase family
Ssiderea261793	MAP kinase kinase kinase kinase activity
Ssiderea238007	methylated histone binding
Ssiderea252402	negative regulation of fibroblast apoptotic process
Ssiderea244418	Threonine synthase N terminus
Ssiderea255870	Bardet-Biedl syndrome 1
Ssiderea252099	pineal gland development
Ssiderea259244	endopeptidase inhibitor activity
Ssiderea179334	Tho complex
Ssiderea461344	WD domain, G-beta repeat
Ssiderea253748	regulation of receptor recycling
Ssiderea261217	protein targeting to mitochondrion
Ssiderea244252	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity
Ssiderea259188	metalloendopeptidase activity
Ssiderea251491	Pleckstrin homology domain containing, family H (with MyTH4 domain) member
Ssiderea259022	gamma-aminobutyric acid:proton symporter activity
Ssiderea249019	Catalyzes the third of the four reactions of the long- chain fatty acids elongation cycle. This endoplasmic reticulum- bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates to the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators
Ssiderea248430	helicase activity
Ssiderea259554	Belongs to the peptidase C19 family
Ssiderea258140	negative regulation of isotype switching to IgA isotypes
Ssiderea223553	belongs to the actin family
Ssiderea238845	mitotic cytokinetic process
Ssiderea194011	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Ssiderea248807	translation initiation factor activity
Ssiderea261920	1-phosphatidylinositol-4-phosphate 5-kinase activity
Ssiderea250164	Protein kinase domain
Ssiderea254923	Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases
Ssiderea224288	embryonic heart tube elongation
Ssiderea82211	regulation of chaperone-mediated protein folding
Ssiderea92994	apoptotic process
Ssiderea254404	Converts sphingomyelin to ceramide
Ssiderea254444	Domain Homologous to E6-AP Carboxyl Terminus with
Ssiderea258508	WD domain, G-beta repeat
Ssiderea253420	Dehydratase family
Ssiderea252960	protein secretion
Ssiderea216587	GRIM-19 protein
Ssiderea258289	polycystic kidney disease protein 1-like
Ssiderea260386	positive regulation of mitochondrial fission
Ssiderea240313	Creatinase/Prolidase N-terminal domain
Ssiderea249026	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
Ssiderea261589	late endosome to lysosome transport
Ssiderea251337	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
Ssiderea252525	-
Ssiderea255918	negative regulation of metalloendopeptidase activity
Ssiderea243131	RNA strand-exchange activity
Ssiderea169281	production of miRNAs involved in gene silencing by miRNA
Ssiderea202379	protein kinase activity
Ssiderea261822	store-operated calcium channel activity
Ssiderea260398	transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Ssiderea230918	DNA-binding transcription factor activity, RNA polymerase II-specific
Ssiderea253106	vesicle fusion with Golgi apparatus
Ssiderea255775	alpha-1,3-glucosidase activity
Ssiderea278386	Synthesizes alpha-1,4-glucan chains using ADP-glucose
Ssiderea262698	Rab subfamily of small GTPases
Ssiderea258526	Beta-lactamase
Ssiderea255164	G-protein coupled receptor activity
Ssiderea245470	galactose-3-O-sulfotransferase 1
Ssiderea237723	intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity
Ssiderea239019	Pyruvate Dehydrogenase Phosphatase Regulatory subunit
Ssiderea238060	-
Ssiderea244317	oxidation-reduction process
Ssiderea263150	protein complex 5, zeta 1 subunit
Ssiderea255646	calcium channel activity
Ssiderea248981	Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process
Ssiderea233028	glutathione hydrolase activity
Ssiderea256507	A disintegrin and metalloproteinase with thrombospondin motifs
Ssiderea257506	chromatin binding
Ssiderea258759	Y-form DNA binding
Ssiderea262358	alpha-L-fucosidase activity
Ssiderea253341	Tetratricopeptide repeat and ankyrin repeat containing 1
Ssiderea260220	DNA binding
Ssiderea255299	It is involved in the biological process described with regulation of signaling
Ssiderea236656	positive regulation of substrate adhesion-dependent cell spreading
Ssiderea259944	catechol-O-methyltransferase domain containing 1
Ssiderea255074	serum response element binding
Ssiderea214348	beta-glucuronidase activity
Ssiderea252121	Short calmodulin-binding motif containing conserved Ile and Gln residues.
Ssiderea232283	protein K33-linked ubiquitination
Ssiderea258666	Ran guanyl-nucleotide exchange factor activity
Ssiderea35482	Calcium-binding EGF-like domain
Ssiderea256469	protein serine/threonine phosphatase activity
Ssiderea260300	beta-catenin binding
Ssiderea260104	homologous chromosome movement towards spindle pole involved in homologous chromosome segregation
Ssiderea104920	store-operated calcium channel activity
Ssiderea197702	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea262662	zinc finger CCCH-type containing
Ssiderea254972	negative regulation of triglyceride biosynthetic process
Ssiderea257860	pyridoxal 5'-phosphate salvage
Ssiderea251037	calcium-dependent phospholipid binding
Ssiderea255377	alcohol dehydrogenase (NADP+) activity
Ssiderea232239	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
Ssiderea252061	Ligand-gated ion channel
Ssiderea247953	Domain of unknown function (DUF4496)
Ssiderea252575	Trifunctional purine biosynthetic protein
Ssiderea223523	Prostaglandin G H synthase
Ssiderea252078	ATPase activity, coupled to transmembrane movement of substances
Ssiderea242260	heparan sulfate proteoglycan
Ssiderea238930	structural constituent of ribosome
Ssiderea202832	Ankyrin repeat
Ssiderea284890	Arginase family
Ssiderea250375	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity
Ssiderea246442	magnesium-dependent phosphatase 1
Ssiderea254390	regulation of choline O-acetyltransferase activity
Ssiderea254668	Ankyrin repeats (3 copies)
Ssiderea254690	-
Ssiderea263425	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member
Ssiderea257216	voltage-gated calcium channel activity
Ssiderea137793	ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)
Ssiderea251349	Islet cell autoantigen
Ssiderea246910	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Ssiderea245933	Rap Ran-GAP domain-like
Ssiderea241910	neurotransmitter:sodium symporter activity
Ssiderea250284	WW domain binding
Ssiderea255985	positive regulation of mitochondrial translation
Ssiderea256254	respiratory chain complex III assembly
Ssiderea260901	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea33827	detection of mechanical stimulus
Ssiderea275043	Eukaryotic protein of unknown function (DUF1764)
Ssiderea261462	cellular response to molecule of fungal origin
Ssiderea253151	Contains two conserved F residues
Ssiderea261871	glycosylphosphatidylinositol phospholipase D activity
Ssiderea257975	Wu fj29h11
Ssiderea258608	structural constituent of ribosome
Ssiderea217012	monoubiquitinated histone deubiquitination
Ssiderea261547	demethylase
Ssiderea255158	molybdopterin-synthase sulfurtransferase activity
Ssiderea219720	Phospholipase A2, group IVA (cytosolic, calcium-dependent)
Ssiderea259330	type 1 cannabinoid receptor binding
Ssiderea259530	May play a role in anchoring the cytoskeleton to the plasma membrane
Ssiderea250656	Splicing factor 3A subunit 3
Ssiderea237404	Rtf1, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)
Ssiderea245881	Small glutamine-rich tetratricopeptide
Ssiderea257754	ARF-like small GTPases; ARF, ADP-ribosylation factor
Ssiderea249721	unfolded protein binding
Ssiderea309855	COG0477 Permeases of the major facilitator superfamily
Ssiderea252911	Homer protein homolog
Ssiderea245393	host cell factor
Ssiderea250580	forkhead box
Ssiderea250028	otolith formation
Ssiderea260705	Regulator of chromosome condensation (RCC1) repeat
Ssiderea252423	-
Ssiderea256576	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
Ssiderea130639	negative regulation of glycogen biosynthetic process
Ssiderea263257	adenosine 3'-phospho 5'-phosphosulfate transporter
Ssiderea258494	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit
Ssiderea252439	Heat shock 70 kDa protein 12A-like
Ssiderea280989	peptidyl-prolyl cis-trans isomerase activity
Ssiderea259546	aminophospholipid transmembrane transporter activity
Ssiderea255879	FAM76 protein
Ssiderea251995	cell motility in response to calcium ion
Ssiderea109862	Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
Ssiderea262808	monocarboxylate transporter
Ssiderea250576	actin-related protein 5
Ssiderea253089	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea261634	mitogen-activated protein kinase kinase
Ssiderea219615	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide
Ssiderea263443	Laminin N-terminal domain (domain VI)
Ssiderea135583	UPF0051 protein ABCI8
Ssiderea377	family member 5
Ssiderea235149	regulation of transcription from RNA polymerase II promoter involved in spinal cord association neuron specification
Ssiderea256917	alpha-galactosidase activity
Ssiderea241446	methionine-R-sulfoxide reductase activity
Ssiderea227056	Armadillo/beta-catenin-like repeats
Ssiderea256835	DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates
Ssiderea322424	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Ssiderea20103	voltage-gated anion channel activity
Ssiderea246095	protein-disulfide reductase activity
Ssiderea243915	thyroid hormone transmembrane transporter activity
Ssiderea239759	cleavage and polyadenylation specificity factor subunit
Ssiderea225486	[pyruvate dehydrogenase (lipoamide)] phosphatase activity
Ssiderea242770	Pleckstrin homology domain.
Ssiderea209769	enzyme 5
Ssiderea253781	programmed cell death
Ssiderea239421	DNA-binding transcription factor activity
Ssiderea261518	Activin A receptor, type I
Ssiderea241530	Glycosyl hydrolases family 16
Ssiderea288439	gamma-glutamyl-peptidase activity
Ssiderea263080	negative regulation of smoothened signaling pathway
Ssiderea186490	Malignant T-cell-amplified sequence
Ssiderea254776	nucleic acid-templated transcription
Ssiderea231219	methyltransferase activity
Ssiderea152481	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Ssiderea256185	endopeptidase activator activity
Ssiderea253539	methylmalonyl-CoA mutase activity
Ssiderea250548	potassium voltage-gated channel
Ssiderea221010	4-coumarate--CoA ligase 1-like
Ssiderea252381	aspartate oxidase activity
Ssiderea257578	thiol-dependent ubiquitin-specific protease activity
Ssiderea250082	GTP binding. It is involved in the biological process described with small GTPase mediated signal transduction
Ssiderea262154	thymidine kinase activity
Ssiderea185113	RNA pseudouridine synthase family protein
Ssiderea243549	3-mercaptopyruvate sulfurtransferase-like
Ssiderea263764	Endonuclease-reverse transcriptase
Ssiderea261953	polyposis coli
Ssiderea255728	late nucleophagy
Ssiderea251924	Protein of unknown function (DUF3808)
Ssiderea261950	RNA-3'-phosphate cyclase activity
Ssiderea168028	PDZ domain-containing protein 2-like
Ssiderea233130	hydrolase activity
Ssiderea262633	Rho guanine nucleotide exchange factor
Ssiderea231122	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea215894	pancreatic epsilon cell differentiation
Ssiderea237534	Belongs to the short-chain dehydrogenases reductases (SDR) family
Ssiderea253143	Belongs to the fatty acid desaturase type 1 family
Ssiderea260183	diacylglycerol kinase activity
Ssiderea260757	calmodulin-dependent protein phosphatase activity
Ssiderea254729	5'-deoxyribose-5-phosphate lyase activity
Ssiderea124701	DNA topoisomerase type II (ATP-hydrolyzing) activity
Ssiderea216739	NADP-retinol dehydrogenase activity
Ssiderea260188	Ras-related C3 botulinum toxin substrate
Ssiderea238153	protein serine/threonine kinase activity
Ssiderea237868	Acid trehalase-like
Ssiderea258062	transmembrane transport
Ssiderea234841	heme binding
Ssiderea141874	It is involved in the biological process described with metabolic process
Ssiderea260892	DNA-directed 5'-3' RNA polymerase activity
Ssiderea249639	polyhomeotic homolog 1
Ssiderea219640	regulation of cell proliferation involved in mesonephros development
Ssiderea105395	translation elongation factor activity
Ssiderea249788	TNF receptor-associated factor
Ssiderea251200	1-phosphatidylinositol-4-phosphate 3-kinase activity
Ssiderea235103	positive regulation of actin filament depolymerization
Ssiderea249800	Belongs to the class-I aminoacyl-tRNA synthetase family
Ssiderea96204	ATP-binding cassette, sub-family B (MDR TAP), member 4
Ssiderea257160	Chromosome 4 open reading frame 29
Ssiderea249807	retrograde transport, endosome to Golgi
Ssiderea263055	Coiled-coil domain containing 17
Ssiderea261174	Solute carrier family 25 member
Ssiderea257355	heat shock protein 90kDa beta (Grp94), member 1
Ssiderea238952	phosphatidylinositol transporter activity
Ssiderea257179	CDP-alcohol phosphatidyltransferase
Ssiderea228571	actin monomer binding
Ssiderea240779	chromosome condensation
Ssiderea28750	A disintegrin and metalloproteinase with thrombospondin motifs
Ssiderea242100	cat eye syndrome
Ssiderea256726	Leucine rich repeat containing 71
Ssiderea262101	gamma-butyrobetaine dioxygenase activity
Ssiderea241856	Wax ester synthase-like Acyl-CoA acyltransferase domain
Ssiderea256751	branchiomeric skeletal muscle development
Ssiderea322748	Ribosomal RNA methyltransferase
Ssiderea250716	Protein of unknown function DUF84
Ssiderea175220	gamete generation
Ssiderea262811	serine threonine-protein kinase
Ssiderea142516	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea262655	G-protein coupled receptor activity
Ssiderea217374	WD domain, G-beta repeat
Ssiderea261616	(R)-2-hydroxyglutarate dehydrogenase activity
Ssiderea254138	[heparan sulfate]-glucosamine N-sulfotransferase activity
Ssiderea260633	Spermine oxidase
Ssiderea256475	proton-exporting ATPase activity, phosphorylative mechanism
Ssiderea256346	factor 8
Ssiderea251031	regulation of branching involved in salivary gland morphogenesis
Ssiderea256058	phosphatidylserine binding
Ssiderea206888	glycerol channel activity
Ssiderea235351	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity
Ssiderea243054	-
Ssiderea249823	e3 ubiquitin-protein ligase
Ssiderea263026	major facilitator superfamily
Ssiderea236730	metalloaminopeptidase activity
Ssiderea224463	actin binding
Ssiderea263784	response to brefeldin A
Ssiderea257360	protein O-linked glycosylation via threonine
Ssiderea226647	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
Ssiderea251945	nuclease 1
Ssiderea290889	structural constituent of ribosome
Ssiderea259772	complement activation, classical pathway
Ssiderea245060	transcription by RNA polymerase I
Ssiderea251410	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea188628	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)
Ssiderea252560	RNA polymerase II transcription regulator recruiting activity
Ssiderea259195	response to unfolded protein
Ssiderea260395	ANTH domain
Ssiderea243369	Vacuolar Protein
Ssiderea329732	Transmembrane protein 26
Ssiderea260273	insulin receptor substrate 1
Ssiderea245307	transcription by RNA polymerase III
Ssiderea259775	Phosphatidylinositol 4-kinase type
Ssiderea238360	aldehyde dehydrogenase (NAD) activity
Ssiderea263494	NFX1-type zinc finger-containing protein
Ssiderea220379	tRNA-dihydrouridine(16 17) synthase NAD(P)( ) -like
Ssiderea251178	GTP binding
Ssiderea260294	integrin
Ssiderea42561	ion transport
Ssiderea248437	ERAD pathway
Ssiderea259289	S100 protein binding
Ssiderea242044	NMDA glutamate receptor activity
Ssiderea260111	xylosyltransferase activity
Ssiderea173725	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
Ssiderea256368	NADH dehydrogenase (ubiquinone) flavoprotein 2
Ssiderea243605	zinc ion binding
Ssiderea226026	regulation of secretory granule organization
Ssiderea411732	cysteine-type endopeptidase activity
Ssiderea221817	atrioventricular node cell fate commitment
Ssiderea258045	phosphatase 6 catalytic subunit
Ssiderea243104	Yip1 domain family member 5
Ssiderea261994	oxygen carrier activity
Ssiderea253320	Jumonji and AT-rich interaction domain containing 2
Ssiderea251405	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity
Ssiderea236205	glycogenin glucosyltransferase activity
Ssiderea240965	DNA replication origin binding
Ssiderea181558	Transcription factor
Ssiderea21409	sodium potassium-transporting ATPase subunit
Ssiderea248591	Ubiquitin-protein ligase
